Name,Sport(s),Address,Booking Link,Amenities/Notes
Sorell Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/SorellTennisClub,Sorell Tennis Club has tennis courts for hire to the public
Domain Tennis Centre,Tennis,Tasmania,https://play.tennis.com.au/DomainTennisCentre,Domain Tennis Centre Queens Domain Tasmania
New Town Catholic Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/newtowncatholictennisclub/Account/SignIn?returnUrl=https%3a%2f%2fplay.tennis.com.au%2fnewtowncatholictennisclub%2fBooking%2fBookByDate,Forgotten your password?
Longford Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/LongfordTennisClub,"Longford Tennis Club is a family friendly and welcoming tennis club, offering social and competitive tennis&#160;for players of all standards,"
Ulverstone Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/UlverstoneTennisClub,Ulverstone Tennis Club is located right next to the West Ulverstone Beach with 3 plexipave courts (2 with lights) making them usable all year round.
Wynyard-Somerset Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/WynyardsomersetTennisClub,We are a family friendly club that occupies 2 separate sites - 4 Hard courts at our Somerset location (off Bass Hwy onto Tennis Court Drive) and 2 Hard courts at our Wynyard location (Johnson Place).&#160;
Lindisfarne Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/LindisfarneTennisClub,Lindisfarne Memorial Tennis Club has tennis courts for hire to the public
Burnie Tennis Club,Tennis,Tasmania,https://play.tennis.com.au/BurnieTennisClub,Burnie Tennis Club International ATP ITF Mens Womens Juniors Tennis Coaching Restrings Hot Shots Open Tennis Sessions Tournaments Social Tennis
