id,name,city,address,booking_url,sport_id,sports
30702eae-f40b-48bd-a56f-5842a024fe9f,"Royal Pickle (Carrum Downs)","16/684–700 Frankston–Dandenong Rd","16/684–700 Frankston–Dandenong Rd, Carrum Downs VIC","https://royalpickle.com.au","",[]
c48b0c8b-5071-46da-84fc-2e1405c10999,"Sherburd Oval","1 Brightwater Rd","1 Brightwater Rd, Blackmans Bay TAS 7052","https://www.kingborough.tas.gov.au/wp-content/uploads/2021/09/casual-sports-ground-usage-application-form.pdf","",[]
366f290d-0e04-40ba-8c23-0bd67d6a74e0,"South Hobart Oval","6 Washington St","6 Washington St, South Hobart TAS 7004","https://www.hobartcity.com.au/community/parks-sportsgrounds-and-reserves/sportsgrounds/sportsground-bookings","",[]
4b064b45-3e40-442b-b085-990a946ebdb9,"Swing & Serve","906 Plenty Rd (Bundoora Park)","906 Plenty Rd (Bundoora Park), Bundoora VIC","https://swingandserve.com.au","",[]
81a009b7-2071-4aac-8630-d3e062036984,"Tauranga Bridge Club","252 Ngatai Road","252 Ngatai Road, Otūmoetai","https://taurangabridge.helloclub.com","",[]
afbba9d5-0587-4b44-a3f5-979963e212cd,"The Football Centre","Osborne Park","Osborne Park, Perth WA","https://footballcentre.com.au/group-bookings","",[]
f51c8913-34cf-4f08-ae81-9f08e8e9427f,"The Jar – South Melbourne","29 White St","29 White St, South Melbourne VIC","https://thejarpickleball.com.au","",[]
eca7f47e-c626-4277-9871-95575cc23d08,"Ultimate Soccer (Fairfield)","46–48 Smithfield Rd","46–48 Smithfield Rd, Prairiewood NSW 2176","https://ultimatesoccer.com.au/book-a-pitch","",[]
41e20646-003e-430b-91e0-32c81f30416e,"Wanderers Fives (Rooty Hill)","55 Francis Rd","55 Francis Rd, Rooty Hill NSW 2766","https://wanderersfives.com.au/pitch-hire","",[]
cc01ef65-851d-45a2-834b-165aaaf3d163,"Wentworth Park Sportsgrounds","Clarence St","Clarence St, Howrah TAS 7018","https://www.ccc.tas.gov.au/explore/sportsgrounds-for-hire","",[]
