id,name,city,address,booking_url,detected_sports
39392f88-af77-4d1a-af5b-bd1747987e79,"Game Over","Christchurch","Christchurch, New Zealand","https://book.gameoverchristchurch.co.nz",[]
ede9c827-e256-47bb-96eb-8ed1b0113734,"Fourforty Mountain Bike Park","Auckland","Auckland, New Zealand","https://www.fourfortymtbpark.co.nz/page/book-now",[]
3a13bb3d-d2be-44b5-955a-6ac325b89fd8,"Game Over Auckland","Auckland","Auckland, New Zealand","https://book.gameoverauckland.co.nz",[]
881f8641-bf4b-4750-9d93-876f78acc09d,"Home of the Matildas – State Football Centre","La Trobe Sports Precinct (Sports Dr)","La Trobe Sports Precinct (Sports Dr), Bundoora VIC","https://www.footballvictoria.com.au",["futsal","soccer","gym"]
c37a43dc-7a0f-49d3-8cee-252e814d7dfe,"Hamilton Yacht Club","Hamilton","Hamilton, New Zealand","https://hamiltonyachtclub.friendlymanager.com/login?forgot=1",[]
d95a2691-bd43-4564-95fe-be1d8f995b26,"Howick Squash","Manukau","41 Meadowland Drive, Manukau, 2014","https://meadowlands.helloclub.com",[]
4e801f6c-c72b-48c5-8901-118c3a3a1bdc,"Island Bay Tennis & Squash Club","2 The Parade","2 The Parade, Island Bay","https://auth.helloclub.com/signin?response_type=code&amp%3Bredirect_uri=https%3A%2F%2Fislandbaytsc.helloclub.com%2FoAuthCallback&amp%3Bstate=7uqWa4su1Hx5elV3Hzo2D5yxE4Bq3F5H&amp%3Bclient_id=frello&amp%3Bcode_challenge=EBtHaZoM3sjvHqcdnBOSnF2z-1_VwvDY_hOXA1eGNto&amp%3Bcode_challenge_method=S256&amp%3Bsignup=false",[]
73c6ecfa-3414-4472-8906-0fc9627997dd,"Extreme Edge","Auckland","32 Morrin Road, 1072","https://www.facebook.com/extremeedgepanmure",["gym"]
de6d95fc-f6aa-4261-8613-1b160ed65e9b,"Kartsport Hamilton","Hamilton","Hamilton, New Zealand","https://prodcdn.sporty.co.nz/cms/147048/favicon.png",[]
ca449a41-6afc-4fea-bb81-87a31efdb46c,"KIKOFF Harbord (Brookvale)","187 Harbord Rd","187 Harbord Rd, Brookvale NSW 2100","https://kikoff.com.au/5-aside-football-pitches",["soccer"]
f0881716-1337-4ef4-9bc1-fa525a37fb6e,"KIKOFF Lakemba","576A Punchbowl Rd","576A Punchbowl Rd, Lakemba NSW 2195","https://kikoff.com.au/5-aside-football-pitches",["soccer"]
54deafe4-4fc9-4bbe-9647-45d5f2f10d5b,"Jellie Park Recreation and Sport Centre","Christchurch","Christchurch, New Zealand","https://ccc.govt.nz/pool-hire",[]
a1c220fa-aaa7-4312-8daa-26283a2179cf,"Kingston Beach Oval","Recreation St","Recreation St, Kingston TAS 7050","https://www.kingborough.tas.gov.au/wp-content/uploads/2021/09/casual-sports-ground-usage-application-form.pdf",[]
9188f4b2-ae22-4049-b160-d447e687f31a,"Kingston Pickleball Centre","38/107 Wells Rd","38/107 Wells Rd, Chelsea Heights VIC","https://kingstonpickleball.com.au",[]
46dfd6ce-878f-4727-9663-519b5ca1d475,"Knox Regional Football Centre","291 George St","291 George St, Wantirna South VIC","https://www.footballvictoria.com.au",["futsal","soccer","gym"]
6107a0f6-8eaa-40df-85c1-011976038cbe,"Laser Strike","Christchurch","Christchurch, New Zealand","https://www.laserstrike.co.nz/groups",[]
7e462846-408d-446e-a2d1-7fce69e1cf31,"Laser Strike","Auckland","Auckland, New Zealand","https://laserstrikenz.co.nz/order.php",[]
8d4b6b98-ec29-4e19-a704-9954e2a1b31d,"Lightwood Park Complex (Grounds 1","2 & 3)","2 & 3)","soccer (outdoor)",[]
954617c8-01c9-4da7-8668-bafb6be97e78,"Flips & Tumbles","Christchurch","12 Musgrove Close, Wigram, Christchurch, 8025","https://www.flipsandtumblesnz.com/bookpersession",[]
cdf07ecd-9d75-467f-8b0e-0748ec4bdc60,"Level Up Pickleball","Westfield Knox (425 Burwood Hwy)","Westfield Knox (425 Burwood Hwy), Wantirna South VIC","https://www.leveluppickleball.com.au",["pickleball"]
