mel_name,mel_address,db_name,db_address,name_overlap_min,addr_overlap_min,combined
Brooklyn Avenue Tennis Courts,17–19 Brooklyn Ave,Brooklyn Tennis Club,"Cypress Ave, Brooklyn VIC 3012",1.00,0.50,0.88
Pickleball Palace (SportsWell),2 Attercliffe Ave,Pickleball Palace,"2 Attercliffe Ave, Pascoe Vale VIC",1.00,1.00,1.00
Royal Pickle Club (Carrum Downs),Unit 16/684–700 Frankston–Dandenong Rd,Royal Pickle (Carrum Downs),"16/684–700 Frankston–Dandenong Rd, Carrum Downs VIC",1.00,0.86,0.96
Northcote Indoor Sports,338 Mansfield St,Northcote Tennis Courts (McDonell Park),"180 Victoria Rd, Northcote VIC",1.00,0.00,0.75
Oakleigh Indoor Sports,18–20 Cyril Grove,Oakleigh Tennis Club (Caloola Reserve),"Caloola Reserve, 85 Atkinson St, Oakleigh VIC 3166",1.00,0.00,0.75
Cambridge Reserve Tennis (Council),Barber Dr (Cambridge Reserve),Cambridge New Soccer Ground,"Cambridge Rd, Cambridge TAS 7170",1.00,0.00,0.75
North Melbourne (Royal Park) — Additional Courts,Corner Elliot Ave & Flemington Rd,The Jar – South Melbourne,"29 White St, South Melbourne VIC",1.00,0.00,0.75
Epping Tennis Club,865 High St,West Epping Park (Tennis & Pickleball),"15X Dent St, Epping NSW 2121",1.00,0.33,0.83
Keon Park Tennis Club (Donath Reserve),Wagga Rd (Donath Reserve),Keon Park Tennis Club,"80 Hickford St (J.C. Donath Reserve), Reservoir VIC",1.00,0.00,0.75
East Malvern Tennis Club (Glen Iris),15 Moira St,Malvern Tennis Centre,"43A Union St, Armadale VIC 3143",1.00,0.33,0.83
Box Hill Tennis Club,3 Cyril St (Cnr Station & Cyril Sts),Action Indoor Sports – Box Hill,"9 Leslie St, Box Hill VIC",1.00,0.33,0.83
