id,name,address,current_city,here_suburb,here_city,here_state,here_postal,here_country_code,proposed_city
7ba5b69a-bdb9-4dd4-bb36-7a524fcc5b12,"Kingsbury Tennis Club","1C Browning St (KW Joyce Reserve), Kingsbury VIC","1C Browning St (KW Joyce Reserve)","Kingsbury","Melbourne","VIC","3083","AUS","Kingsbury"
a1c220fa-aaa7-4312-8daa-26283a2179cf,"Kingston Beach Oval","Recreation St, Kingston TAS 7050","Recreation St","Kingston Beach","Kingston","TAS","7050","AUS","Kingston Beach"
9188f4b2-ae22-4049-b160-d447e687f31a,"Kingston Pickleball Centre","38/107 Wells Rd, Chelsea Heights VIC","38/107 Wells Rd","Chelsea Heights","Melbourne","VIC","3196","AUS","Chelsea Heights"
a77e02f4-636f-4f8d-9ec9-890e20dcf11c,"Kingston Tennis Club","Kingston View Dr, Kingston TAS 7051","Kingston View Dr","Kingston","Kingston","TAS","7050","AUS","Kingston"
46dfd6ce-878f-4727-9663-519b5ca1d475,"Knox Regional Football Centre","291 George St, Wantirna South VIC","291 George St","Wantirna South","Melbourne","VIC","3152","AUS","Wantirna South"
dfa1d5fd-bab9-48a7-9230-4a34242abfd5,"KTP Sports Centre (East Hills) – Tennis","Sutar Ave, East Hills NSW 2213","Sutar Ave","East Hills","Sydney","NSW","2213","AUS","East Hills"
fdd0d086-7db4-4d16-a53b-dbfddd8dafe0,"KTP Sports Centre (Panania) – Tennis","Marco Ave, Panania NSW 2213","Marco Ave","Panania","Sydney","NSW","2213","AUS","Panania"
2cdf9713-c0e4-4ddb-aed2-ce7c8039b4b6,"Lane Cove Tennis Club","Central Park, Kenneth St, Longueville NSW 2066","Kenneth St","Longueville","Sydney","NSW","2066","AUS","Longueville"
1bc2e10d-f922-4ac5-9c49-7bf64a084baa,"Lane Cove West Tennis Club","Lloyd Rees Dr, Lane Cove West NSW 2066","Lloyd Rees Dr","Lane Cove West","Sydney","NSW","2066","AUS","Lane Cove West"
ac88eda7-930f-40a0-9ce5-f0e27fed776c,"Latham Park Tennis Centre (South Coogee)","Henning Ave, South Coogee NSW 2034","Henning Ave","South Coogee","Sydney","NSW","2034","AUS","South Coogee"
169b16fe-e434-41e5-9bda-8bf7fd2c9baa,"Lawson Square Park Tennis Courts (Merrylands)","Price St, Merrylands NSW 2160","Price St","Merrylands","Sydney","NSW","2160","AUS","Merrylands"
cdf07ecd-9d75-467f-8b0e-0748ec4bdc60,"Level Up Pickleball","Westfield Knox (425 Burwood Hwy), Wantirna South VIC","Westfield Knox (425 Burwood Hwy)","Wantirna South","Melbourne","VIC","3152","AUS","Wantirna South"
8d4b6b98-ec29-4e19-a704-9954e2a1b31d,"Lightwood Park Complex (Grounds 1","2 & 3)","2 & 3)","Futuro Nogalar","San Nicolás de los Garza","NL","66484","MEX","Futuro Nogalar"
8d3511a3-c502-4b7a-a326-643228c3901d,"Lindfield Soldiers Memorial Park Courts (KRG)","79A Tryon Rd, Lindfield NSW 2070","79A Tryon Rd","East Lindfield","Sydney","NSW","2070","AUS","East Lindfield"
eeb3bb3c-1a86-4c60-9d70-d88b66ff8858,"Lindisfarne Memorial Tennis Club","End of Park Rd, Lindisfarne TAS 7015","End of Park Rd","Lindisfarne","Hobart","TAS","7015","AUS","Lindisfarne"
317e14d8-be69-4f6f-8b6e-d17ac34c0ed4,"Litis Stadium","41 Britannia Road, Leederville WA 6009","41 Britannia Road","Leederville","Perth","WA","6007","AUS","Leederville"
1b021c6b-1763-44e5-8422-7861303e9f93,"Logan Metro Sports & Events Centre","357 Browns Plains Rd, Crestmead QLD 4132","357 Browns Plains Rd","Crestmead","Brisbane","QLD","4132","AUS","Crestmead"
d26d6836-28c4-41db-95fe-882948c1c6b3,"Loton Park Tennis Club","Cnr Lord Street and Bulwer Street, Perth WA 6000","Cnr Lord Street and Bulwer Street","Perth","Perth","WA","6000","AUS","Perth"
2ba61907-6f47-41b3-951d-a5db7c8b4e06,"Majors Bay Reserve – Synthetic Fields (Concord)","Concord NSW 2137","Concord NSW 2137","Concord","Sydney","NSW","2137","AUS","Concord"
e6656b75-d7fa-4eaa-a00e-064f75d66788,"Malvern Tennis Centre","43A Union St, Armadale VIC 3143","43A Union St","Armadale","Melbourne","VIC","3143","AUS","Armadale"
b4c0f22e-da0e-41d7-ab36-ace7876bef2b,"Malvern Tennis Centre (Stonnington)","43A Union St, Armadale VIC 3143","43A Union St","Armadale","Melbourne","VIC","3143","AUS","Armadale"
fbe786ce-256a-4b11-8e7c-554767a6af7f,"Melbourne Park (National Tennis Centre)","Olympic Blvd (Entrance D), Melbourne VIC 3000","Olympic Blvd (Entrance D)","Melbourne","Melbourne","VIC","3004","AUS","Melbourne"
f07081b0-11ad-4007-9fa0-3273fe91fe9b,"Melbourne Sports & Aquatic Centre (MSAC) – Stadium Courts","30 Aughtie Dr, Albert Park VIC","30 Aughtie Dr","Albert Park","Melbourne","VIC","3206","AUS","Albert Park"
67143156-e645-468d-86c5-27aa8058fcdf,"Middle Head Tennis Court (Mosman)","1110 Middle Head Rd, Mosman NSW 2088","1110 Middle Head Rd","Mosman","Sydney","NSW","2088","AUS","Mosman"
c0b2ad65-af1a-45fa-8e31-88686b45df97,"Miller Park Tennis Club","Cnr Mountain Hwy & Liverpool Rd, Boronia VIC 3155","Cnr Mountain Hwy & Liverpool Rd","Boronia","Melbourne","VIC","3155","AUS","Boronia"
6c625a2a-26b7-4b07-a5a8-8b8083698f5d,"Miller Park Tennis Club (Lane Cove North)","38A Mowbray Rd, Lane Cove North NSW 2066","38A Mowbray Rd","Lane Cove North","Sydney","NSW","2066","AUS","Lane Cove North"
b8198b6f-2d2e-4188-b714-d7c7ce62a617,"Mona Vale Tennis Club","Kitchener Park, Pittwater Rd, Mona Vale NSW 2103","Pittwater Rd","Mona Vale","Sydney","NSW","2103","AUS","Mona Vale"
54198ca8-2892-4377-9cd9-cd6f42abb03f,"Moonah Sports Centre (NFSRA)","17 Gormanston Rd, Moonah TAS 7009","17 Gormanston Rd","Moonah","Hobart","TAS","7009","AUS","Moonah"
0224564f-f994-428b-be82-6863e3b2b797,"Morningside Tennis Centre","123 Beverley St, Morningside QLD 4170","123 Beverley St","Morningside","Brisbane","QLD","4170","AUS","Morningside"
90cdb238-e557-4aa6-a573-0b01eda67ade,"Morona Avenue Reserve Courts (KRG)","Morona Ave, Roseville NSW 2069","Morona Ave","Roseville","Sydney","NSW","2069","AUS","Roseville"
47d20dda-14e0-4ee3-856c-32effe310027,"Mosman Lawn Tennis Club","2 Sinclair St, Mosman NSW 2088","2 Sinclair St","Mosman","Sydney","NSW","2088","AUS","Mosman"
14e5483c-3b64-4330-9175-8978a25d93fb,"Neutral Bay Club – Tennis","3 Westleigh St, Neutral Bay NSW 2089","3 Westleigh St","Neutral Bay","Sydney","NSW","2089","AUS","Neutral Bay"
30427815-07b8-4cf2-89c4-4d31301ba666,"New Farm Park Tennis Courts","1042 Brunswick St, New Farm QLD 4005","1042 Brunswick St","New Farm","Brisbane","QLD","4005","AUS","New Farm"
77d6e0f0-3499-4fbf-8f7e-e207aecef9fd,"Newport Community Centre (Tennis)","11–13 The Boulevarde, Newport NSW 2106","11–13 The Boulevarde","Newport","Sydney","NSW","2106","AUS","Newport"
05674e4c-0d60-4a9a-bba3-5db7d4f786c9,"Northcote Tennis Courts (McDonell Park)","180 Victoria Rd, Northcote VIC","180 Victoria Rd","Northcote","Melbourne","VIC","3070","AUS","Northcote"
8d754d8e-9339-4e9d-aac4-37c69baec83d,"Oakleigh Tennis Club (Caloola Reserve)","Caloola Reserve, 85 Atkinson St, Oakleigh VIC 3166","85 Atkinson St","Oakleigh","Melbourne","VIC","3166","AUS","Oakleigh"
f4f2b5fe-af87-47e4-994a-f3807666eb10,"Oakleigh Tennis Club (Caloola)","Park Rd, Oakleigh VIC 3166","Park Rd","Oakleigh","Melbourne","VIC","3166","AUS","Oakleigh"
a8bbf7ae-fa19-4cfd-9b69-b8e60cdef0d2,"Padel Brisbane","200 Settlement Rd, The Gap QLD 4061","200 Settlement Rd","The Gap","Brisbane","QLD","4061","AUS","The Gap"
6f916076-8b44-4a73-b766-095bec28e4cd,"Peakhurst Park Synthetic (Georges River)","Peakhurst NSW 2210","Peakhurst NSW 2210","Peakhurst","Sydney","NSW","2210","AUS","Peakhurst"
a08ea2d7-f0f0-44a9-92a4-a5c24437fbe0,"Pickleball Palace","2 Attercliffe Ave, Pascoe Vale VIC","2 Attercliffe Ave","Pascoe Vale","Melbourne","VIC","3044","AUS","Pascoe Vale"
29a360d4-7d8d-4e18-afd0-3673ab9e6f74,"PicklePlay (Bentleigh East)","1 South Drive (Kingston Centre), Bentleigh East VIC","1 South Drive (Kingston Centre)","Bentleigh East","Melbourne","VIC","3165","AUS","Bentleigh East"
12afc5d2-9eb5-43b6-84bb-365e2e7819d2,"Powlett Reserve Tennis Centre","Cnr Albert St & Simpson St, East Melbourne VIC 3002","Cnr Albert St & Simpson St","East Melbourne","Melbourne","VIC","3002","AUS","East Melbourne"
405ef66f-0682-42dd-aa02-db84b4b7f67b,"Prince Alfred Park – City Community Tennis","105 Chalmers St, Surry Hills NSW 2010","105 Chalmers St","Surry Hills","Sydney","NSW","2010","AUS","Surry Hills"
65568f15-f7f3-4137-8ed6-820b626ae18d,"Princes Gardens Tennis Courts","8 Little Chapel St, Prahran VIC 3181","8 Little Chapel St","Prahran","Melbourne","VIC","3181","AUS","Prahran"
16d73456-ba64-4fa3-b088-bb6666316c2f,"Princes Gardens Tennis Courts (Prahran)","8 Little Chapel St, Prahran VIC 3181","8 Little Chapel St","Prahran","Melbourne","VIC","3181","AUS","Prahran"
0752f23c-e77b-4328-bb0f-ff7abe8f5452,"Princes Hill Tennis Club","208 Macpherson St (Princes Park), Carlton North VIC","208 Macpherson St (Princes Park)","Princes Hill","Melbourne","VIC","3054","AUS","Princes Hill"
89f45ee7-0258-42a1-b40b-da2cfe95f0a8,"Queensland Tennis Centre","190 King Arthur Tce, Tennyson QLD 4105","190 King Arthur Tce","Tennyson","Brisbane","QLD","4105","AUS","Tennyson"
90bac1df-5098-4ee4-a510-1011555ad782,"QUT Indoor Sports Court (Kelvin Grove)","Level 2, 44 Musk Avenue (U Block), Kelvin Grove QLD 4059","44 Musk Avenue (U Block)","Kelvin Grove","Brisbane","QLD","4059","AUS","Kelvin Grove"
1d944e7f-46e3-40b0-89ca-a069ea2430c3,"Rebound Stadium","23 Foster St, Newmarket QLD 4051","23 Foster St","Newmarket","Brisbane","QLD","4051","AUS","Newmarket"
f6a4e55d-bc8c-40ef-9564-c7bde94d4d02,"Regent Tennis Club","2A Clyde St (GE Robinson Reserve), Reservoir VIC","2A Clyde St (GE Robinson Reserve)","Reservoir","Melbourne","VIC","3073","AUS","Reservoir"
e611a0af-6d01-4d9e-9f2b-acbc2cb2a0e7,"Robert Pymble Park Courts (KRG)","4 Myrtle St, Pymble NSW 2073","4 Myrtle St","St Ives","Sydney","NSW","2075","AUS","St Ives"
9703b3e1-a215-489a-a636-75dcc4478f48,"Roseville Lawn Tennis Club","7A Clanville Rd, Roseville NSW 2069","7A Clanville Rd","Roseville","Sydney","NSW","2069","AUS","Roseville"
