id,name,address,city,derived_suburb,state,country,booking_url,city_looks_like_street
55259137-7333-4a42-ab59-1f67c1847e6a,"Centennial Parklands Tennis (Moore Park)","Cnr Anzac Pde & Lang Rd, Moore Park NSW 2021","Cnr Anzac Pde & Lang Rd","Cnr Anzac Pde & Lang Rd","NSW","Australia","https://parklandssports.com.au/court-hire/",true
3cc3ad42-ee3c-4e18-8457-9eed475c3978,"Churchill Park Sports Facility","50 Lamont Street (access via Churchill Park Drive), Invermay (Launceston) TAS 7248","Invermay (Launceston)","Invermay (Launceston)","TAS","Australia","https://launceston.bookable.net.au/venues/1/churchill-park-sports-facility",false
985e8353-6610-4145-8e0e-90ac45e9ae0e,"Cintra Park Tennis Centre","383 Concord Road, Concord NSW 2137","Concord","Concord","NSW","Australia","https://www.cpsports.com.au/",false
521b22ab-acc5-4837-96bc-2247de3bd5d8,"City Community Tennis - Alexandria Park","Park Road, Alexandria NSW 2015","Alexandria","Alexandria","NSW","Australia","https://www.citycommunitytennis.com.au/locations",false
9dbf70cc-6118-4616-80e5-0a07cf0963f3,"City Community Tennis - Beaconsfield Park","York Road, Beaconsfield NSW 2015","Beaconsfield","Beaconsfield","NSW","Australia","https://www.citycommunitytennis.com.au/locations",false
50abbe1c-b5ea-422f-a377-c94f7285648a,"City Community Tennis - Prince Alfred Park","Chalmers Street, Prince Alfred Park, Surry Hills NSW 2010","Surry Hills","Surry Hills","NSW","Australia","https://play.tennis.com.au/citycommunitytennisprincealfredpark",false
2ae3d114-302e-4a4a-b3d7-bc15cd2ce306,"City Community Tennis - St James Park","Elizabeth Street, Sydney NSW 2000","Sydney","Sydney","NSW","Australia","https://www.citycommunitytennis.com.au/locations",false
3e6d1486-4864-4a2f-80a2-b22f86fc9334,"City Community Tennis - Turruwul Park","Mentmore Avenue, Rosebery NSW 2018","Rosebery","Rosebery","NSW","Australia","https://www.citycommunitytennis.com.au/locations",false
62d1118d-e679-4e43-8fe3-f9afa357c7ea,"City of Bayswater - The Rise","Bayswater WA","Bayswater WA","Bayswater WA","WA","Australia","https://bayswaterrec.wa.gov.au/the-rise/social-sports-court-hire/",false
1ea45928-6b8c-464b-9331-b22575eabdfd,"City of Bayswater - The Rise (Pickleball)","Bayswater WA","Bayswater WA","Bayswater WA","WA","Australia","https://bayswaterrec.wa.gov.au/the-rise/social-sports-court-hire/",false
c90fb808-6370-410a-b8c9-fb4c1f79a674,"City of Stirling - Hamersley Sports Court","Belvedere Road, Hamersley WA 6022","Belvedere Road","Belvedere Road","WA","Australia","https://www.stirling.wa.gov.au/stirling-leisure/venue-and-facility-hire/sports-court-hamersley-sl",true
10436eaf-3167-4f13-a7d4-f14cb2ec8fc9,"Civic Park Tennis (Pendle Hill)","Targo Rd, Pendle Hill NSW 2145","Targo Rd","Targo Rd","NSW","Australia","https://play.tennis.com.au/civicparktenniscourts/Booking/BookByDate",true
0d664e24-99a4-488d-b42d-175d9c8f13d7,"Clare Street Oval (New Town)","Clare St, New Town TAS 7008","Clare St","Clare St","TAS","Australia","https://www.hobartcity.com.au/Community/Parks-sportsgrounds-and-reserves/Sportsgrounds/Sportsground-bookings",true
9910ce96-9aaa-4f37-81f5-ef962189f6f9,"Claremont Lawn Tennis Club","Claremont WA","Claremont WA","Claremont WA","WA","Australia","https://claremonttennis.com.au/book-a-court/",false
50032483-a2bb-4312-a627-ded73aa56bb5,"Clarence Sports Centre (NFSRA)","20 Loinah Cres, Montagu Bay TAS 7018","20 Loinah Cres","20 Loinah Cres","TAS","Australia","https://nfsra.com.au/court-hire/",true
ac5ca73a-28d7-4caf-b8a4-ae7a0d246091,"Clifton Hill Tennis Club – Pickleball Sessions","2 Hoddle St, Clifton Hill VIC","2 Hoddle St","2 Hoddle St","VIC","Australia","https://cliftonhilltc.org.au",true
e0223553-ffd1-478d-add8-9dfd345c61d0,"Club Marconi – Pickleball","121–133 Prairie Vale Rd, Bossley Park NSW 2176","121–133 Prairie Vale Rd","– Prairie Vale Rd","NSW","Australia","https://www.tennisvenues.com.au/booking/marconi-tennis-academy",true
cefb4f7c-3b30-4abc-a5bd-865159282ffd,"Club Marconi Synthetic Fields","121 Prairie Vale Road, Bossley Park NSW 2176","Bossley Park","Bossley Park","NSW","Australia","https://www.clubmarconi.com.au/field-hire",false
ff034b0f-2f24-4c39-bfd4-3eb61f283426,"Coburg Tennis Club","Cnr Bellevue & Victoria Sts, Coburg VIC","Coburg","Coburg","VIC","Australia","play.tennis.com.au/court-hire/CoburgTennisClub",false
00ec8368-4084-452f-b3e3-56678d00acfb,"Cockburn ARC","Cockburn WA","Cockburn WA","Cockburn WA","WA","Australia","https://www.cockburnarc.com.au/Visit/Booking-Enquiry",false
596b8ddd-c24b-4814-849c-3464e95e4fe7,"Collaroy Tennis Club","Collaroy Plateau Park, Veterans Parade, Collaroy Plateau NSW 2097","Collaroy Plateau","Veterans Parade","NSW","Australia","https://www.northernbeaches.nsw.gov.au/things-to-do/recreation-area/collaroy-plateau-tennis-court",true
904ca61d-88ff-42b3-adf2-54c101300fda,"College Park Tennis Court","College Park, Nedlands WA","College Park","College Park","WA","Australia","https://www.spacetoco.com/space/nedlands-wa-college-park-tennis-court",false
13d8309b-a471-47e9-bec1-6b056232fb77,"Concord Oval Recreation Centre","Loftus Street, Concord NSW 2137","Concord","Concord","NSW","Australia","https://www.canadabay.nsw.gov.au/concord-oval",false
4d7974ba-3a7f-4e24-8af9-0ce453021b60,"Cooper Park Tennis","Bellevue Rd, Bellevue Hill NSW 2023","Bellevue Rd","Bellevue Rd","NSW","Australia","https://cooperparktennis.com.au/book-a-court",true
8d0aef14-5bdb-4d0a-b0cb-8557dd5f7a0b,"Cooper Park Tennis Centre","1 Bunna Place, Woollahra NSW 2025","Woollahra","Woollahra","NSW","Australia","https://play.tennis.com.au/cooperparktennis",false
dd6afb7e-b816-4eb0-b602-d9a27b539ce0,"Cornelian Bay Oval","Cornelian Bay, New Town TAS 7008","Cornelian Bay","Cornelian Bay","TAS","Australia","https://www.hobartcity.com.au/Community/Parks-sportsgrounds-and-reserves/Sportsgrounds/Sportsground-bookings",false
13f60668-ff8f-4166-a87a-d343255aab8d,"Croker Park Tennis Courts (Five Dock)","1C Henley Marine Dr, Five Dock NSW 2046","1C Henley Marine Dr","1C Henley Marine Dr","NSW","Australia","https://www.tennisvenues.com.au/booking/croker-park-tc",true
c76a5bab-830f-4e22-b153-63248d39afa8,"Croydon Tennis Centre","128-132 Frances St, Lidcombe NSW 2141","128-132 Frances St","- Frances St","NSW","Australia","https://www.croydontenniscentre.com.au/tennis-court-hire",true
4f21dfbd-e32c-4762-9c7c-af800b0ecb40,"Croydon Tennis Centre","45 Hennessy Street, Croydon NSW 2132","Croydon","Croydon","NSW","Australia","https://www.croydontenniscentre.com.au/tennis-court-hire",false
bb2071a0-0387-41d4-9ecc-ff75875c2bff,"Dalkeith Tennis Club","Cnr Victoria Ave and Beatrice Road, Dalkeith WA 6009","Cnr Victoria Ave and Beatrice Road","Cnr Victoria Ave and Beatrice Road","WA","Australia","https://www.dalkeithtc.com/court-hire/",true
2229967a-3bba-4ff6-9788-a5dcd09a5428,"Darebin State Football Centre (DISC)","281 Darebin Rd (DISC), Thornbury VIC","281 Darebin Rd (DISC)","Darebin Rd (DISC)","VIC","Australia","https://www.footballvictoria.com.au/",true
e1f0dacd-eccb-460d-bbbd-745988ee4caa,"Devonport Soccer Centre","47 Lovett Street, Devonport TAS 7310","Devonport","Devonport","TAS","Australia","https://devonport.bookable.net.au/venues/20/devonport-soccer-centre",false
3c61b016-b956-4808-a82c-9d001a581749,"Devonport Tennis Club","Eugene Street, Devonport TAS 7310","Devonport","Devonport","TAS","Australia","https://play.tennis.com.au/devonporttennisclub/Booking",false
9c4987fe-c790-432a-8ef1-7f0df51912d0,"Dirrabarri Tennis Courts (Pemulwuy)","Cnr Watkin Tench Pde & Driftway Dr, Pemulwuy NSW 2145","Cnr Watkin Tench Pde & Driftway Dr","Cnr Watkin Tench Pde & Driftway Dr","NSW","Australia","https://play.tennis.com.au/dirrabarritenniscourts",true
f1d22f3b-51d8-4168-8a3e-e841459b8ec7,"Docklands Sports Courts","68–90 Harbour Esplanade, Docklands VIC","68–90 Harbour Esplanade","68–90 Harbour Esplanade","VIC","Australia","https://activemelbourne.ymca.org.au/",true
3b72de1c-f8c9-4e0e-9032-a1c58356da0b,"Domain Tennis Centre","2 Davies Ave, Glebe TAS 7000","2 Davies Ave","2 Davies Ave","TAS","Australia","https://play.tennis.com.au/DomainTennis",true
8353cee8-0805-454d-9dc1-971569dc558c,"Domain Tennis Centre","Tasmania","Tasmania","Tasmania","","Australia","https://play.tennis.com.au/DomainTennisCentre",false
